%Flight Orig Dest DepTime ArrTime PrevFlight
1 FRA LHR 08:00 11:50 0
2 DUB VIE 12:51 14:07 0
3 FRA IST 15:44 18:22 0
4 ORY VIE 19:25 23:11 0
5 BRU FRA 08:45 12:16 0
6 IST BRU 13:29 17:31 0
7 LHR DUB 19:54 21:58 0
8 LHR ORY 12:30 14:52 0
9 LHR TXL 15:28 17:54 0
10 CDG VIE 19:29 22:55 0
11 AMS DUB 06:30 10:57 0
12 IST ZRH 13:48 14:50 0
13 TXL IST 17:22 18:47 0
14 DUB IST 21:00 23:18 0
18 BCN IST 11:30 13:42 0
19 BCN MAD 14:33 16:18 0
20 BRU VIE 16:25 18:45 0
21 ORY MAD 21:04 00:02+1 0
22 AMS DUB 08:15 12:19 0
23 VIE ZRH 12:55 17:35 0
24 TXL CDG 19:12 21:01 0
26 BRU ORY 10:00 11:50 0
27 TXL LHR 14:36 15:57 0
28 BRU IST 18:47 22:57 0
29 VIE ZRH 06:30 08:04 0
30 CPH FRA 10:14 13:57 0
31 ORY IST 16:18 18:49 0
32 VIE CDG 19:43 21:55 0
33 CDG ORY 09:00 11:13 0
34 BCN ORY 11:27 15:42 0
35 ORY MUC 16:29 18:28 0
36 IST ORY 20:25 23:40 0
#
