%Flight DepDate Aircraft
1 02/09/24 A320#1
2 02/09/24 A320#1
3 02/09/24 A320#1
4 02/09/24 A320#2
5 02/09/24 A320#2
6 02/09/24 A320#2
7 02/09/24 B737#1
8 02/09/24 B737#1
9 02/09/24 B737#1
10 02/09/24 A320#3
11 02/09/24 A320#3
12 02/09/24 A320#3
13 02/09/24 B737#2
14 02/09/24 B737#2
15 02/09/24 B737#2
16 02/09/24 A320#4
17 02/09/24 A320#4
18 02/09/24 A320#4
19 02/09/24 A320#5
20 02/09/24 A320#5
21 02/09/24 A320#5
22 02/09/24 A320#6
23 02/09/24 A320#6
24 02/09/24 A320#6
25 02/09/24 A320#7
26 02/09/24 A320#7
27 02/09/24 A320#8
28 02/09/24 A320#8
29 02/09/24 A320#8
30 02/09/24 A320#8
#
