%Flight Orig Dest DepTime ArrTime PrevFlight
1 VIE MAD 08:45 11:49 0
2 MAD CPH 13:03 17:05 0
3 FRA AMS 17:56 21:19 0
4 BCN CPH 09:45 11:46 0
5 VIE ZRH 13:34 18:08 0
6 ORY MAD 20:43 01:33+1 0
7 MAD CDG 10:45 14:14 0
8 VIE DUB 16:53 18:30 0
9 BCN MUC 19:35 23:32 0
10 ZRH BCN 10:15 12:56 0
11 DUB FRA 15:42 18:27 0
12 VIE CPH 20:10 22:29 0
13 CDG BRU 10:15 13:10 0
14 MUC FRA 15:58 19:44 0
15 ZRH ORY 21:07 01:45+1 0
16 AMS VIE 08:15 12:07 0
17 AMS FRA 13:26 17:06 0
18 TXL BRU 17:56 22:36 0
19 DUB VIE 08:30 10:24 0
20 BCN AMS 12:54 17:42 0
21 ORY BCN 20:14 22:27 0
22 ZRH IST 09:00 11:47 0
23 FRA VIE 13:28 16:53 0
24 IST AMS 19:42 22:26 0
25 CDG MAD 11:15 16:06 0
26 CDG BRU 16:46 21:29 0
27 LHR ZRH 06:15 07:44 0
28 IST MUC 09:07 10:49 0
29 ZRH BRU 13:33 18:00 0
30 MAD BCN 20:43 22:46 0
#
