%Flight Orig Dest DepTime ArrTime PrevFlight
1 MAD ORY 07:00 08:21 0
2 AMS IST 11:12 12:18 0
3 BRU FRA 12:34 16:06 0
4 CPH ZRH 18:34 22:28 0
5 BCN TXL 09:30 13:02 0
6 FRA BCN 15:59 19:20 0
7 ZRH LHR 19:48 21:30 0
9 CPH ZRH 09:15 12:58 0
10 DUB BRU 13:03 14:22 0
11 BCN DUB 15:47 18:46 0
12 LHR TXL 20:27 22:04 0
13 AMS VIE 10:30 11:50 0
14 ORY LHR 14:23 18:36 0
15 CDG TXL 21:27 23:53 0
16 AMS BRU 10:45 13:17 0
17 AMS BRU 15:50 19:45 0
18 ZRH BRU 22:01 01:55+1 0
19 BRU ZRH 10:15 14:20 0
20 ORY CPH 16:57 19:16 0
21 BRU VIE 19:22 22:10 0
25 IST MAD 07:45 11:03 0
26 MAD CPH 13:26 16:21 0
27 VIE BCN 17:23 19:24 0
28 FRA LHR 21:01 01:59+1 0
29 CDG MAD 10:30 14:00 0
30 IST CPH 15:18 18:14 0
31 ZRH DUB 20:27 00:53+1 0
32 IST CDG 08:45 10:14 0
#
