%Flight DepDate Aircraft
1 16/09/24 B737#1
2 16/09/24 B737#1
3 16/09/24 B737#1
4 16/09/24 B737#1
5 16/09/24 A320#1
6 16/09/24 A320#1
7 16/09/24 A320#1
9 16/09/24 B737#2
10 16/09/24 B737#2
11 16/09/24 B737#2
12 16/09/24 B737#2
13 16/09/24 B737#3
14 16/09/24 B737#3
15 16/09/24 B737#3
16 16/09/24 B737#4
17 16/09/24 B737#4
18 16/09/24 B737#4
19 16/09/24 B737#5
20 16/09/24 B737#5
21 16/09/24 B737#5
22 16/09/24 B737#6
23 16/09/24 B737#6
24 16/09/24 B737#6
25 16/09/24 B737#7
26 16/09/24 B737#7
27 16/09/24 B737#7
28 16/09/24 B737#7
29 16/09/24 B737#8
30 16/09/24 B737#8
31 16/09/24 B737#8
32 16/09/24 B737#9
#
