%Flight Orig Dest DepTime ArrTime PrevFlight
1 FRA TXL 11:45 13:54 0
2 BCN LHR 15:53 19:32 0
3 TXL AMS 21:49 22:55 0
4 BRU BCN 06:15 08:09 0
5 IST VIE 08:47 10:51 0
6 MAD BRU 11:46 13:45 0
7 ORY CDG 14:58 19:16 0
8 AMS FRA 12:30 14:04 0
9 LHR CPH 14:52 19:19 0
10 BCN CPH 20:38 01:26+1 0
11 BRU CDG 08:15 09:30 0
12 VIE ORY 12:14 14:52 0
13 DUB BRU 15:30 20:20 0
15 MAD IST 12:00 16:43 0
16 DUB BRU 17:19 18:48 0
17 ORY TXL 19:09 00:02+1 0
18 DUB MUC 12:15 16:58 0
19 ORY DUB 17:54 19:30 0
20 VIE FRA 20:49 23:08 0
#
