%Flight Orig Dest DepTime ArrTime PrevFlight
1 BRU IST 11:15 13:43 0
2 BCN TXL 13:51 15:03 0
3 AMS MUC 15:21 20:13 0
4 CPH MAD 22:26 01:10+1 0
5 FRA IST 11:00 14:25 0
6 BRU TXL 14:40 19:32 0
7 FRA ORY 21:14 01:33+1 0
8 VIE TXL 09:15 13:44 0
9 MUC VIE 16:02 18:10 0
10 AMS LHR 19:15 23:12 0
11 BRU CPH 08:15 09:39 0
12 ORY CPH 10:38 13:22 0
13 BCN CDG 16:15 20:49 0
14 ZRH FRA 20:50 00:25+1 0
16 ORY LHR 11:30 13:54 0
17 ZRH FRA 15:25 17:07 0
18 MAD VIE 19:22 23:20 0
19 VIE BCN 12:15 15:27 0
20 DUB ZRH 17:08 19:47 0
21 BRU FRA 21:16 01:37+1 0
22 CDG CPH 09:15 12:53 0
23 LHR TXL 13:08 14:17 0
24 AMS VIE 16:11 20:22 0
25 CDG FRA 21:08 23:08 0
26 DUB BRU 10:30 13:09 0
27 FRA MAD 14:56 18:17 0
28 VIE CDG 21:10 00:38+1 0
29 DUB VIE 12:30 15:37 0
30 MAD IST 17:23 18:42 0
31 FRA LHR 19:45 22:30 0
#
