%Flight DepDate Aircraft
1 17/09/24 A320#1
2 17/09/24 A320#1
3 17/09/24 A320#1
4 17/09/24 B737#1
5 17/09/24 B737#1
6 17/09/24 B737#1
7 17/09/24 B737#1
8 17/09/24 B737#2
9 17/09/24 B737#2
10 17/09/24 B737#2
11 17/09/24 B737#2
12 17/09/24 A320#2
13 17/09/24 A320#2
14 17/09/24 A320#2
15 17/09/24 A320#2
16 17/09/24 B737#3
17 17/09/24 B737#3
18 17/09/24 B737#3
19 17/09/24 B737#3
20 17/09/24 B737#3
21 17/09/24 A320#3
22 17/09/24 A320#3
23 17/09/24 A320#3
24 17/09/24 A320#4
25 17/09/24 A320#4
26 17/09/24 A320#4
27 17/09/24 A320#4
#
