%Flight DepDate Aircraft
1 16/09/24 A320#1
2 16/09/24 A320#1
3 16/09/24 A320#1
4 16/09/24 A320#2
5 16/09/24 A320#2
6 16/09/24 A320#2
7 16/09/24 A320#2
8 16/09/24 A320#3
9 16/09/24 A320#3
10 16/09/24 A320#3
11 16/09/24 A320#3
12 16/09/24 A320#4
13 16/09/24 A320#4
14 16/09/24 A320#4
15 16/09/24 A320#4
16 16/09/24 A320#5
17 16/09/24 A320#5
19 16/09/24 A320#6
20 16/09/24 A320#6
21 16/09/24 A320#6
23 16/09/24 B737#1
24 16/09/24 B737#1
25 16/09/24 B737#1
26 16/09/24 B737#1
27 16/09/24 A320#7
28 16/09/24 A320#7
29 16/09/24 A320#7
30 16/09/24 A320#7
31 16/09/24 A320#8
32 16/09/24 A320#8
33 16/09/24 A320#8
34 16/09/24 A320#8
#
