model_name,sequence_type,actions,reward
../trained_models/dqn_10000d_10u-1.zip,worst action sequence,"[array(0), array(0), array(0), array(4), array(0), array(0), array(4)]",-18219.0
../trained_models/dqn_10000d_10u-1.zip,best action sequence,"[array(3), array(5)]",2000
../trained_models/dqn_10000d_10u-2.zip,worst action sequence,"[array(4), array(0), array(0), array(0), array(0), array(2)]",-18209.0
../trained_models/dqn_10000d_10u-2.zip,best action sequence,"[array(5), array(5)]",2000
../trained_models/dqn_10000d_10u-3.zip,worst action sequence,"[array(6), array(0), array(0), array(0), array(0), array(5)]",-8282.0
../trained_models/dqn_10000d_10u-3.zip,best action sequence,"[array(3), array(5)]",2000
../trained_models/dqn_10000d_10u-4.zip,worst action sequence,"[array(4), array(0), array(0), array(0), array(0), array(6)]",-18179.0
../trained_models/dqn_10000d_10u-4.zip,best action sequence,"[array(3), array(5)]",2000
../trained_models/dqn_100d_10u-1.zip,worst action sequence,"[array(6), array(2)]",1598.0
../trained_models/dqn_100d_10u-1.zip,best action sequence,"[array(5), array(5)]",2000
../trained_models/dqn_100d_10u-2.zip,worst action sequence,"[array(1), array(0), array(1)]",1238.0
../trained_models/dqn_100d_10u-2.zip,best action sequence,"[array(5), array(5)]",2000
../trained_models/dqn_100d_10u-3.zip,worst action sequence,"[array(1), array(6)]",1263.0
../trained_models/dqn_100d_10u-3.zip,best action sequence,"[array(5), array(0), array(0), array(2)]",1850.0
../trained_models/dqn_100d_10u-1.zip,worst action sequence,"[array(1), array(6)]",1263.0
../trained_models/dqn_100d_10u-1.zip,best action sequence,"[array(5), array(3)]",1967.0
../trained_models/dqn_100d_10u-2.zip,worst action sequence,"[array(1), array(6)]",1263.0
../trained_models/dqn_100d_10u-2.zip,best action sequence,"[array(4), array(3)]",1918.0
../trained_models/dqn_100d_10u-3.zip,worst action sequence,"[array(1), array(2)]",1233.0
../trained_models/dqn_100d_10u-3.zip,best action sequence,"[array(5), array(5)]",2000
../trained_models/dqn_10000d_10u-1.zip,worst action sequence,"[array(0), array(0), array(0), array(0), array(4)]",-9165.0
../trained_models/dqn_10000d_10u-1.zip,best action sequence,"[array(3), array(5)]",2000
../trained_models/dqn_10000d_10u-2.zip,worst action sequence,"[array(4), array(0), array(0), array(0), array(0), array(0), array(1)]",-18278.0
../trained_models/dqn_10000d_10u-2.zip,best action sequence,"[array(3), array(5)]",2000
../trained_models/dqn_1000000d_10u-1.zip,worst action sequence,"[array(0), array(0), array(0), array(0), array(0), array(0), array(0), array(0), array(0)]",-40040
../trained_models/dqn_1000000d_10u-1.zip,best action sequence,"[array(5), array(5)]",2000
