%Flight Orig Dest DepTime ArrTime PrevFlight
1 MAD TXL 09:15 11:15 0
2 FRA CPH 12:42 14:54 0
3 IST AMS 16:24 20:25 0
4 TXL MUC 20:58 01:51+1 0
5 CPH ZRH 08:00 12:23 0
6 ZRH VIE 15:21 18:43 0
7 LHR IST 20:24 23:25 0
8 VIE BCN 09:45 10:46 0
9 FRA VIE 11:22 15:11 0
10 ZRH VIE 15:14 19:02 0
11 AMS CDG 19:49 00:30+1 0
13 CPH FRA 07:15 09:02 0
14 LHR CPH 09:42 11:39 0
15 ZRH IST 11:52 13:46 0
16 LHR ORY 14:11 18:16 0
17 ORY ZRH 19:34 22:25 0
18 ORY VIE 12:30 17:16 0
19 TXL CDG 17:28 19:41 0
20 TXL ZRH 19:42 23:10 0
21 DUB ORY 11:45 16:38 0
22 CDG TXL 17:22 21:05 0
23 TXL BCN 22:59 00:17+1 0
#
