%Flight Orig Dest DepTime ArrTime PrevFlight
1 IST MUC 10:15 13:27 0
2 ORY CDG 15:06 17:18 0
3 LHR MAD 18:06 19:56 0
4 IST MAD 21:14 22:43 0
5 ORY TXL 11:30 13:11 0
6 BRU MUC 15:13 18:36 0
7 IST MAD 20:41 22:48 0
8 BCN ZRH 08:45 12:02 0
9 BRU CDG 13:55 15:38 0
10 VIE AMS 18:31 23:10 0
11 TXL BRU 08:00 09:28 0
12 DUB CDG 09:55 13:07 0
13 FRA MAD 13:54 18:34 0
14 MAD ZRH 19:58 23:47 0
15 MUC VIE 08:00 11:28 0
16 VIE ZRH 11:39 16:11 0
17 AMS BCN 16:14 20:36 0
18 CPH FRA 20:46 00:27+1 0
22 IST CDG 08:15 10:29 0
23 DUB AMS 12:08 14:19 0
24 DUB IST 16:12 20:39 0
26 IST ZRH 09:00 10:52 0
27 CPH BCN 13:08 15:40 0
28 LHR MUC 16:00 20:38 0
30 BCN AMS 07:30 08:35 0
31 ORY DUB 11:02 15:03 0
32 MUC IST 17:52 22:38 0
33 BCN IST 08:15 12:19 0
34 MUC BRU 12:40 15:56 0
35 CPH DUB 16:09 19:20 0
36 IST ZRH 19:24 21:17 0
#
