%Flight Orig Dest DepTime ArrTime PrevFlight
1 ZRH LHR 12:15 13:55 0
2 IST MAD 15:52 18:38 0
3 ORY CDG 19:14 20:32 0
4 CDG MUC 08:45 12:14 0
5 FRA CPH 14:40 17:04 0
6 MAD BCN 17:06 21:44 0
7 TXL DUB 07:15 11:36 0
8 IST ORY 13:02 17:46 0
9 LHR DUB 17:55 21:18 0
10 BCN CDG 07:00 09:11 0
11 TXL BRU 11:00 12:56 0
12 MAD TXL 13:16 18:00 0
13 TXL VIE 19:59 22:10 0
15 DUB CPH 07:00 08:29 0
16 ORY VIE 09:24 11:47 0
17 CDG ZRH 12:39 16:17 0
18 ZRH BRU 18:20 20:25 0
24 ORY AMS 11:30 12:30 0
25 CDG DUB 13:25 16:25 0
26 MAD CDG 17:05 19:25 0
27 VIE CPH 20:48 22:27 0
#
