model_name,sequence_type,actions,reward
../trained_models/dqn_2500d_10u-4.zip,worst action sequence,"[array([0]), array([0]), array([0]), array([0]), array([4]), array([3])]",270.0
../trained_models/dqn_2500d_10u-4.zip,best action sequence,"[array([3]), array([0])]",1000.0
../trained_models/dqn_25000d_10u-2.zip,worst action sequence,"[array([0]), array([0]), array([0]), array([0]), array([0]), array([3])]",-10020.0
../trained_models/dqn_25000d_10u-2.zip,best action sequence,"[array([3]), array([3])]",1000.0
../trained_models/dqn_250000d_10u-1.zip,worst action sequence,"[array([0]), array([0]), array([0]), array([0]), array([0]), array([3])]",-10020.0
../trained_models/dqn_250000d_10u-1.zip,best action sequence,"[array([3]), array([0])]",1000.0
../trained_models/dqn_10d_10u-1.zip,worst action sequence,"[array([0]), array([4]), array([4])]",285.0
../trained_models/dqn_10d_10u-1.zip,best action sequence,"[array([0]), array([4]), array([4])]",285.0
../trained_models/dqn_10d_10u-2.zip,worst action sequence,[array([4])],290.0
../trained_models/dqn_10d_10u-2.zip,best action sequence,[array([4])],290.0
../trained_models/dqn_250d_10u-1.zip,worst action sequence,"[array([0]), array([4])]",285.0
../trained_models/dqn_250d_10u-1.zip,best action sequence,[array([3])],1000.0
../trained_models/dqn_25000d_10u-3.zip,worst action sequence,"[array([0]), array([0]), array([0]), array([0]), array([0])]",-10020.0
../trained_models/dqn_25000d_10u-3.zip,best action sequence,[array([3])],1000.0
../trained_models/dqn_25000d_10u-4.zip,worst action sequence,"[array([0]), array([0]), array([0]), array([0]), array([0])]",-10020.0
../trained_models/dqn_25000d_10u-4.zip,best action sequence,[array([3])],1000.0
../trained_models/dqn_2500d_10u-5.zip,worst action sequence,"[array([0]), array([0]), array([0]), array([0]), array([0])]",-10020.0
../trained_models/dqn_2500d_10u-5.zip,best action sequence,[array([3])],1000.0
../trained_models/dqn_2500d_10u-6.zip,worst action sequence,"[array([0]), array([0]), array([0]), array([0]), array([0])]",-10020.0
../trained_models/dqn_2500d_10u-6.zip,best action sequence,[array([3])],1000.0
../trained_models/dqn_2500d_10u-7.zip,worst action sequence,"[array([0]), array([0]), array([0]), array([0]), array([0])]",-10020.0
../trained_models/dqn_2500d_10u-7.zip,best action sequence,[array([3])],1000.0
../trained_models/dqn_250000d_10u-2.zip,worst action sequence,"[array([0]), array([0]), array([0]), array([0]), array([0])]",-10020.0
../trained_models/dqn_250000d_10u-2.zip,best action sequence,[array([3])],1000.0
../trained_models/dqn_250000d_10u-3.zip,worst action sequence,"[array([0]), array([0]), array([0]), array([0]), array([0])]",-10020.0
../trained_models/dqn_250000d_10u-3.zip,best action sequence,[array([3])],1000.0
