%Flight DepDate Aircraft
1 20/09/24 A320#1
2 20/09/24 A320#1
3 20/09/24 A320#1
4 20/09/24 A320#1
5 20/09/24 B737#1
6 20/09/24 B737#1
7 20/09/24 B737#1
8 20/09/24 B737#2
9 20/09/24 B737#2
10 20/09/24 B737#2
11 20/09/24 B737#2
12 20/09/24 A320#2
13 20/09/24 A320#2
14 20/09/24 A320#2
15 20/09/24 A320#2
16 20/09/24 B737#3
17 20/09/24 B737#3
18 20/09/24 B737#3
19 20/09/24 B737#3
20 20/09/24 B737#3
21 20/09/24 B737#3
22 20/09/24 A320#3
23 20/09/24 A320#3
24 20/09/24 A320#3
25 20/09/24 B737#4
26 20/09/24 B737#4
27 20/09/24 B737#4
28 20/09/24 B737#5
29 20/09/24 B737#5
30 20/09/24 B737#5
31 20/09/24 B737#5
32 20/09/24 A320#4
33 20/09/24 A320#4
34 20/09/24 A320#4
#
