%Flight DepDate Aircraft
1 23/09/24 A320#1
2 23/09/24 A320#1
3 23/09/24 A320#1
5 23/09/24 B737#1
6 23/09/24 B737#1
7 23/09/24 A320#2
8 23/09/24 A320#2
9 23/09/24 A320#2
10 23/09/24 A320#3
11 23/09/24 A320#3
12 23/09/24 A320#3
13 23/09/24 A320#4
14 23/09/24 A320#4
15 23/09/24 A320#4
16 23/09/24 A320#4
17 23/09/24 A320#5
18 23/09/24 A320#5
19 23/09/24 A320#5
20 23/09/24 B737#2
21 23/09/24 B737#2
22 23/09/24 B737#2
23 23/09/24 B737#2
25 23/09/24 A320#6
26 23/09/24 A320#6
27 23/09/24 A320#6
28 23/09/24 A320#6
29 23/09/24 A320#6
#
