%Flight Orig Dest DepTime ArrTime PrevFlight
1 FRA CDG 07:30 10:16 0
2 VIE LHR 10:53 11:55 0
3 LHR BRU 14:01 17:36 0
4 CPH CDG 18:41 22:44 0
5 BRU MAD 12:45 15:23 0
6 FRA VIE 15:56 17:42 0
7 LHR MAD 18:53 21:16 0
14 TXL IST 06:45 11:34 0
15 BCN LHR 12:45 16:24 0
16 TXL BRU 18:36 22:36 0
17 BCN VIE 09:15 14:14 0
18 DUB VIE 16:53 20:20 0
19 CDG MUC 22:24 00:06+1 0
20 MAD BCN 12:30 14:21 0
21 LHR IST 17:11 19:40 0
22 BRU BCN 19:55 21:22 0
23 TXL IST 22:28 00:46+1 0
24 ORY ZRH 09:45 12:38 0
25 VIE ORY 13:55 18:52 0
26 IST ORY 18:59 20:43 0
#
