%Flight Orig Dest DepTime ArrTime PrevFlight
1 TXL ZRH 10:00 11:09 0
2 IST ZRH 12:29 17:22 0
3 BCN MAD 20:12 23:59 0
4 VIE CDG 07:45 12:20 0
5 IST AMS 13:14 16:32 0
6 ORY CDG 17:14 22:06 0
7 MAD BCN 08:30 11:39 0
8 ZRH ORY 13:10 15:47 0
9 BRU CPH 15:58 16:59 0
10 CPH MAD 17:45 19:51 0
11 VIE FRA 12:00 15:56 0
12 MAD DUB 18:08 22:08 0
13 FRA BCN 06:45 09:06 0
14 MAD CPH 09:35 12:28 0
15 LHR AMS 13:14 15:13 0
16 AMS CDG 18:00 21:42 0
17 MAD BCN 07:45 10:19 0
18 IST ORY 10:41 14:48 0
19 TXL DUB 15:43 18:16 0
20 LHR VIE 18:38 22:13 0
21 DUB FRA 06:30 08:08 0
22 DUB BRU 09:23 10:50 0
23 CPH AMS 13:41 15:34 0
24 DUB IST 16:22 20:27 0
25 FRA LHR 06:45 10:27 0
26 BRU IST 13:09 17:02 0
27 LHR MUC 17:45 22:28 0
28 BCN ORY 12:45 15:19 0
29 FRA CPH 15:33 18:23 0
30 CPH DUB 19:49 22:20 0
31 FRA CDG 06:15 09:38 0
32 ORY TXL 12:13 13:52 0
33 FRA BRU 14:34 15:40 0
34 BRU BCN 16:47 19:06 0
35 AMS CDG 20:47 21:47 0
#
