%Flight DepDate Aircraft
1 01/09/24 B737#1
2 01/09/24 B737#1
3 01/09/24 B737#1
4 01/09/24 A320#1
5 01/09/24 A320#1
6 01/09/24 A320#1
7 01/09/24 A320#2
8 01/09/24 A320#2
9 01/09/24 A320#2
10 01/09/24 A320#2
11 01/09/24 A320#3
12 01/09/24 A320#3
13 01/09/24 A320#4
14 01/09/24 A320#4
15 01/09/24 A320#4
16 01/09/24 A320#4
17 01/09/24 B737#2
18 01/09/24 B737#2
19 01/09/24 B737#2
20 01/09/24 B737#2
21 01/09/24 A320#5
22 01/09/24 A320#5
23 01/09/24 A320#5
24 01/09/24 A320#5
25 01/09/24 A320#6
26 01/09/24 A320#6
27 01/09/24 A320#6
28 01/09/24 B737#3
29 01/09/24 B737#3
30 01/09/24 B737#3
31 01/09/24 B737#4
32 01/09/24 B737#4
33 01/09/24 B737#4
34 01/09/24 B737#4
35 01/09/24 B737#4
#
