%Flight Orig Dest DepTime ArrTime PrevFlight
1 LHR MUC 12:00 15:46 0
2 CPH ZRH 18:23 21:23 0
3 VIE BRU 21:37 00:32+1 0
4 VIE MUC 09:15 14:04 0
5 MUC BCN 16:01 17:41 0
6 CDG VIE 19:25 22:54 0
7 LHR MUC 00:06+1 03:33+1 0
8 ORY MAD 08:00 12:25 0
9 BRU MUC 13:33 17:25 0
10 BRU LHR 17:35 19:29 0
11 VIE MUC 21:02 22:14 0
17 FRA IST 07:00 08:48 0
18 MUC LHR 10:20 11:44 0
19 BCN TXL 13:02 17:55 0
20 TXL VIE 20:07 23:23 0
21 CDG ZRH 12:15 16:41 0
22 CPH ZRH 17:00 18:17 0
23 MAD LHR 19:57 23:08 0
24 CPH ORY 00:21+1 01:26+1 0
25 ZRH LHR 08:00 10:35 0
26 IST ZRH 11:48 16:46 0
27 DUB ZRH 17:29 20:39 0
28 ORY IST 21:15 01:42+1 0
29 AMS CPH 06:30 09:00 0
30 BCN CDG 10:28 14:05 0
31 CPH IST 16:23 19:18 0
32 BRU FRA 20:35 23:47 0
33 VIE CPH 07:15 09:52 0
34 BRU IST 10:03 14:30 0
35 CPH DUB 15:28 16:58 0
36 AMS IST 19:28 00:07+1 0
37 BRU MAD 11:45 14:42 0
38 DUB MUC 14:46 15:53 0
39 IST TXL 16:02 17:40 0
40 BRU MUC 20:03 23:14 0
#
