%Flight Orig Dest DepTime ArrTime PrevFlight
1 CPH VIE 08:00 09:57 0
2 ZRH BCN 12:15 14:56 0
3 TXL DUB 17:30 19:52 0
4 BCN VIE 21:14 00:32+1 0
5 TXL CDG 12:30 16:56 0
6 VIE LHR 19:25 21:01 0
7 CPH IST 23:41 02:08+1 0
8 VIE MAD 06:00 09:12 0
9 TXL CDG 12:05 14:02 0
10 TXL CDG 15:40 17:24 0
11 CPH BRU 20:21 23:45 0
12 IST DUB 11:45 15:24 0
13 ZRH DUB 17:38 22:04 0
14 CDG ORY 08:45 13:05 0
15 FRA CDG 15:12 17:42 0
16 DUB MUC 19:11 23:06 0
17 AMS BCN 11:30 12:33 0
18 LHR VIE 13:24 15:15 0
19 VIE TXL 16:55 19:38 0
20 ZRH AMS 20:14 22:10 0
21 DUB BRU 06:45 07:46 0
22 ZRH FRA 09:14 10:51 0
23 LHR FRA 12:33 16:19 0
24 ORY FRA 19:00 22:35 0
25 VIE CPH 06:00 10:53 0
#
