model_name,sequence_type,actions,reward
../trained_models/dqn_10000d_10u-1.zip,worst action sequence,"[array(4), array(0), array(0), array(3), array(0), array(6), array(5)]",-6237.0
../trained_models/dqn_10000d_10u-1.zip,best action sequence,"[array(0), array(6), array(4), array(3), array(4), array(0), array(3), array(4), array(3), array(1), array(3)]",8862.0
../trained_models/dqn_10000d_10u-2.zip,worst action sequence,"[array(0), array(0), array(4), array(0), array(3), array(5), array(0), array(5)]",-6709.0
../trained_models/dqn_10000d_10u-2.zip,best action sequence,"[array(4), array(6), array(4), array(3), array(4), array(3), array(1), array(4)]",7881.0
../trained_models/dqn_10000d_10u-3.zip,worst action sequence,"[array(4), array(4), array(2), array(3), array(4), array(4), array(0), array(0), array(0), array(0), array(0), array(4), array(1)]",-5586.0
../trained_models/dqn_10000d_10u-3.zip,best action sequence,"[array(2), array(4), array(3), array(0), array(4), array(3), array(4), array(3), array(2), array(6)]",8586.0
../trained_models/dqn_10000d_10u-4.zip,worst action sequence,"[array(4), array(0), array(0), array(3), array(0), array(4), array(0), array(0), array(4), array(0), array(4), array(0), array(0), array(6)]",-15282.0
../trained_models/dqn_10000d_10u-4.zip,best action sequence,"[array(4), array(3), array(1), array(4), array(3), array(4), array(6), array(1)]",7766.0
../trained_models/dqn_100d_10u-1.zip,worst action sequence,"[array(0), array(3), array(3)]",1940.0
../trained_models/dqn_100d_10u-1.zip,best action sequence,"[array(4), array(6), array(2), array(1)]",3814.0
../trained_models/dqn_100d_10u-2.zip,worst action sequence,"[array(4), array(3), array(0), array(4), array(3), array(0), array(6), array(2)]",-4166.0
../trained_models/dqn_100d_10u-2.zip,best action sequence,"[array(4), array(6), array(4), array(4), array(2), array(1)]",4752.0
../trained_models/dqn_100d_10u-3.zip,worst action sequence,"[array(1), array(0), array(5), array(0), array(5)]",2132.0
../trained_models/dqn_100d_10u-3.zip,best action sequence,"[array(5), array(4), array(1), array(3)]",3776.0
../trained_models/dqn_100d_10u-1.zip,worst action sequence,"[array(3), array(1)]",2141.0
../trained_models/dqn_100d_10u-1.zip,best action sequence,"[array(4), array(2), array(0), array(4), array(2), array(0), array(2)]",4552.0
../trained_models/dqn_100d_10u-2.zip,worst action sequence,"[array(4), array(3), array(0), array(4), array(3), array(0), array(2), array(1)]",-4159.0
../trained_models/dqn_100d_10u-2.zip,best action sequence,"[array(5), array(4), array(4), array(6), array(4)]",3712.0
../trained_models/dqn_100d_10u-3.zip,worst action sequence,"[array(0), array(3), array(6)]",2153.0
../trained_models/dqn_100d_10u-3.zip,best action sequence,"[array(4), array(0), array(5), array(2), array(4)]",3713.0
