%Flight Orig Dest DepTime ArrTime PrevFlight
1 ZRH TXL 09:30 12:57 0
2 TXL IST 13:20 16:21 0
3 LHR ZRH 18:01 20:01 0
4 CPH BCN 22:14 02:59+1 0
5 ORY VIE 08:45 12:20 0
6 AMS ZRH 14:12 16:35 0
7 CDG BRU 18:25 21:16 0
8 CPH MAD 22:01 02:07+1 0
9 ZRH FRA 08:15 12:58 0
10 AMS CPH 15:13 16:22 0
11 CDG LHR 17:18 21:11 0
13 VIE CDG 07:45 09:13 0
14 AMS ZRH 09:51 14:02 0
15 CPH MUC 15:20 16:43 0
16 ORY FRA 18:12 19:18 0
17 CPH VIE 20:13 23:53 0
18 MAD LHR 11:30 14:37 0
19 AMS VIE 15:10 19:57 0
20 MUC ORY 22:09 02:42+1 0
21 MUC BRU 09:15 11:30 0
22 CDG VIE 14:14 17:59 0
23 LHR MUC 19:25 23:19 0
24 VIE DUB 08:30 10:47 0
25 CDG MAD 10:57 12:59 0
26 AMS VIE 13:10 14:10 0
27 MAD ZRH 15:57 17:11 0
28 FRA AMS 17:17 20:54 0
#
