%Flight DepDate Aircraft
1 23/09/24 A320#1
2 23/09/24 A320#1
3 23/09/24 A320#1
4 23/09/24 A320#1
5 23/09/24 B737#1
6 23/09/24 B737#1
7 23/09/24 B737#1
8 23/09/24 B737#1
9 23/09/24 B737#1
10 23/09/24 A320#2
11 23/09/24 A320#2
12 23/09/24 A320#2
13 23/09/24 B737#2
14 23/09/24 B737#2
15 23/09/24 B737#2
16 23/09/24 B737#3
17 23/09/24 B737#3
18 23/09/24 B737#3
19 23/09/24 B737#3
20 23/09/24 B737#4
21 23/09/24 B737#4
22 23/09/24 A320#3
23 23/09/24 A320#3
24 23/09/24 A320#3
25 23/09/24 B737#5
26 23/09/24 B737#5
27 23/09/24 B737#5
28 23/09/24 B737#5
29 23/09/24 A320#4
30 23/09/24 A320#4
31 23/09/24 A320#4
#
