%Flight DepDate Aircraft
1 04/09/24 B737#1
2 04/09/24 B737#1
3 04/09/24 B737#1
4 04/09/24 B737#1
5 04/09/24 A320#1
6 04/09/24 A320#1
7 04/09/24 A320#1
8 04/09/24 A320#1
9 04/09/24 B737#2
10 04/09/24 B737#2
11 04/09/24 B737#2
12 04/09/24 B737#3
13 04/09/24 B737#3
14 04/09/24 B737#3
15 04/09/24 B737#3
17 04/09/24 B737#5
18 04/09/24 B737#5
19 04/09/24 B737#5
20 04/09/24 B737#5
21 04/09/24 A320#2
22 04/09/24 A320#2
23 04/09/24 A320#2
24 04/09/24 A320#2
25 04/09/24 A320#3
26 04/09/24 A320#3
27 04/09/24 A320#3
#
