%Flight DepDate Aircraft
1 10/09/24 A320#1
2 10/09/24 A320#1
3 10/09/24 A320#1
4 10/09/24 A320#1
5 10/09/24 B737#1
6 10/09/24 B737#1
7 10/09/24 B737#1
8 10/09/24 B737#2
9 10/09/24 B737#2
10 10/09/24 B737#2
11 10/09/24 A320#2
12 10/09/24 A320#2
13 10/09/24 A320#2
14 10/09/24 A320#2
16 10/09/24 B737#3
17 10/09/24 B737#3
18 10/09/24 B737#3
19 10/09/24 A320#4
20 10/09/24 A320#4
21 10/09/24 A320#4
22 10/09/24 B737#4
23 10/09/24 B737#4
24 10/09/24 B737#4
25 10/09/24 B737#4
26 10/09/24 B737#5
27 10/09/24 B737#5
28 10/09/24 B737#5
29 10/09/24 B737#6
30 10/09/24 B737#6
31 10/09/24 B737#6
#
