%Flight DepDate Aircraft
1 18/09/24 B737#1
2 18/09/24 B737#1
3 18/09/24 B737#1
4 18/09/24 A320#1
5 18/09/24 A320#1
6 18/09/24 A320#1
7 18/09/24 A320#1
8 18/09/24 A320#2
9 18/09/24 A320#2
10 18/09/24 A320#2
12 18/09/24 B737#2
13 18/09/24 B737#2
14 18/09/24 B737#2
15 18/09/24 A320#3
16 18/09/24 A320#3
17 18/09/24 A320#3
18 18/09/24 A320#4
19 18/09/24 A320#4
20 18/09/24 B737#3
21 18/09/24 B737#3
22 18/09/24 B737#3
23 18/09/24 B737#4
24 18/09/24 B737#4
25 18/09/24 B737#4
26 18/09/24 B737#5
27 18/09/24 B737#5
28 18/09/24 B737#5
#
