%Flight Orig Dest DepTime ArrTime PrevFlight
1 TXL ZRH 07:30 11:15 0
2 ZRH CPH 13:06 15:16 0
3 CDG LHR 18:02 20:44 0
4 AMS CPH 07:15 10:07 0
5 AMS FRA 11:29 13:57 0
6 BCN CPH 15:11 18:35 0
7 BRU ORY 19:20 00:05+1 0
8 MUC DUB 06:15 07:41 0
9 ORY MUC 09:59 14:15 0
10 CPH BCN 15:42 19:18 0
12 CDG LHR 10:30 12:52 0
13 MAD CPH 13:45 18:39 0
14 FRA CPH 19:46 21:44 0
15 LHR ORY 09:45 12:42 0
16 LHR CPH 12:50 15:40 0
17 VIE FRA 17:57 21:08 0
18 DUB MUC 12:45 16:31 0
19 VIE BRU 17:00 21:54 0
20 TXL LHR 07:30 12:11 0
21 AMS DUB 13:18 15:02 0
22 MAD ZRH 17:53 20:20 0
23 BCN FRA 11:45 14:10 0
24 IST BCN 15:38 19:25 0
25 BCN MAD 19:51 21:29 0
26 VIE ORY 06:15 09:32 0
27 MAD CDG 10:46 14:31 0
28 MAD LHR 17:02 18:34 0
#
