%Flight DepDate Aircraft
1 24/09/24 A320#1
2 24/09/24 A320#1
3 24/09/24 A320#1
4 24/09/24 A320#1
5 24/09/24 A320#2
6 24/09/24 A320#2
7 24/09/24 A320#2
8 24/09/24 B737#1
9 24/09/24 B737#1
10 24/09/24 B737#1
11 24/09/24 B737#1
12 24/09/24 A320#3
13 24/09/24 A320#3
14 24/09/24 A320#3
15 24/09/24 A320#3
16 24/09/24 A320#4
17 24/09/24 A320#4
18 24/09/24 A320#4
20 24/09/24 B737#2
21 24/09/24 B737#2
22 24/09/24 B737#2
23 24/09/24 A320#5
24 24/09/24 A320#5
25 24/09/24 A320#5
26 24/09/24 A320#6
27 24/09/24 A320#6
28 24/09/24 A320#6
29 24/09/24 A320#6
#
