%Flight Orig Dest DepTime ArrTime PrevFlight
1 DUB AMS 09:30 10:51 0
2 AMS MUC 12:31 17:08 0
3 TXL DUB 17:20 20:48 0
4 CDG AMS 22:28 03:02+1 0
5 ZRH BCN 12:30 14:45 0
6 ZRH BCN 15:24 16:36 0
7 DUB IST 18:20 22:44 0
8 CPH MUC 08:15 10:18 0
9 FRA LHR 11:19 13:19 0
10 CPH MUC 13:49 14:53 0
11 MUC DUB 15:42 17:24 0
12 CPH BCN 17:33 22:23 0
13 MAD CPH 06:45 09:34 0
14 LHR MUC 10:07 14:29 0
15 DUB BCN 15:54 17:14 0
16 DUB TXL 18:01 22:36 0
17 MAD DUB 12:45 15:05 0
18 MUC DUB 15:13 19:15 0
19 ZRH CPH 19:51 22:13 0
20 DUB BCN 08:30 13:02 0
21 LHR ORY 13:24 14:35 0
22 ORY BRU 15:41 17:37 0
23 ORY CDG 18:00 22:00 0
24 ORY IST 23:29 03:49+1 0
25 IST BRU 08:15 13:11 0
26 IST VIE 15:43 19:33 0
27 CPH BRU 20:52 22:55 0
28 CPH BRU 08:00 11:08 0
29 BCN AMS 13:45 17:47 0
30 TXL CPH 18:58 22:09 0
31 MAD BRU 12:30 15:25 0
32 MAD BCN 17:20 22:12 0
#
