%Flight DepDate Aircraft
1 11/09/24 B737#1
2 11/09/24 B737#1
3 11/09/24 B737#1
4 11/09/24 B737#1
5 11/09/24 B737#2
6 11/09/24 B737#2
7 11/09/24 B737#2
8 11/09/24 B737#3
9 11/09/24 B737#3
10 11/09/24 B737#3
11 11/09/24 B737#3
12 11/09/24 B737#3
13 11/09/24 B737#4
14 11/09/24 B737#4
15 11/09/24 B737#4
16 11/09/24 B737#4
17 11/09/24 B737#5
18 11/09/24 B737#5
19 11/09/24 B737#5
20 11/09/24 B737#6
21 11/09/24 B737#6
22 11/09/24 B737#6
23 11/09/24 B737#6
24 11/09/24 B737#6
25 11/09/24 B737#7
26 11/09/24 B737#7
27 11/09/24 B737#7
28 11/09/24 A320#1
29 11/09/24 A320#1
30 11/09/24 A320#1
31 11/09/24 B737#8
32 11/09/24 B737#8
#
