%Flight DepDate Aircraft
1 13/09/24 B737#1
2 13/09/24 B737#1
3 13/09/24 B737#1
4 13/09/24 B737#2
5 13/09/24 B737#2
6 13/09/24 A320#1
7 13/09/24 A320#1
8 13/09/24 A320#1
10 13/09/24 B737#3
11 13/09/24 B737#3
13 13/09/24 B737#4
14 13/09/24 B737#4
15 13/09/24 B737#4
16 13/09/24 B737#5
17 13/09/24 B737#5
18 13/09/24 B737#5
19 13/09/24 B737#5
20 13/09/24 A320#2
21 13/09/24 A320#2
22 13/09/24 A320#2
23 13/09/24 A320#2
24 13/09/24 B737#6
25 13/09/24 B737#6
26 13/09/24 B737#6
27 13/09/24 B737#7
28 13/09/24 B737#7
29 13/09/24 B737#7
31 13/09/24 A320#3
32 13/09/24 A320#3
33 13/09/24 A320#3
34 13/09/24 A320#3
#
