%Flight Orig Dest DepTime ArrTime PrevFlight
1 VIE IST 10:00 14:43 0
2 BCN LHR 14:46 19:14 0
3 BRU CDG 21:55 02:06+1 0
4 TXL ORY 06:30 09:49 0
5 MAD FRA 12:39 16:32 0
6 CPH ZRH 18:08 20:00 0
7 BRU DUB 21:13 00:10+1 0
8 BCN IST 11:15 12:21 0
9 CPH MUC 14:09 17:06 0
10 DUB AMS 18:22 23:21 0
11 TXL CPH 12:30 16:53 0
12 AMS MAD 19:50 00:38+1 0
13 CDG CPH 08:00 12:51 0
14 VIE ORY 15:11 16:26 0
15 IST ZRH 17:40 19:55 0
16 AMS MAD 21:23 01:08+1 0
17 BRU ORY 11:00 15:06 0
18 VIE AMS 16:45 21:10 0
19 MUC LHR 07:15 10:43 0
20 FRA TXL 13:03 14:11 0
21 BCN FRA 15:16 18:49 0
22 MUC FRA 20:00 00:44+1 0
23 VIE CDG 09:15 13:06 0
24 AMS BRU 15:27 19:50 0
25 MUC ORY 20:58 01:32+1 0
26 DUB AMS 11:00 14:13 0
27 CPH FRA 16:30 18:02 0
28 IST CPH 20:07 23:21 0
29 IST LHR 07:00 10:30 0
30 DUB MAD 11:16 14:49 0
31 MUC DUB 17:29 18:46 0
32 IST VIE 19:31 00:28+1 0
#
