%Flight DepDate Aircraft
1 19/09/24 A320#1
2 19/09/24 A320#1
3 19/09/24 A320#1
4 19/09/24 A320#2
5 19/09/24 A320#2
6 19/09/24 A320#2
7 19/09/24 A320#2
8 19/09/24 A320#3
9 19/09/24 A320#3
10 19/09/24 A320#3
11 19/09/24 B737#1
12 19/09/24 B737#1
13 19/09/24 A320#4
14 19/09/24 A320#4
15 19/09/24 A320#4
16 19/09/24 A320#4
17 19/09/24 B737#2
18 19/09/24 B737#2
19 19/09/24 B737#3
20 19/09/24 B737#3
21 19/09/24 B737#3
22 19/09/24 B737#3
23 19/09/24 B737#4
24 19/09/24 B737#4
25 19/09/24 B737#4
26 19/09/24 B737#5
27 19/09/24 B737#5
28 19/09/24 B737#5
29 19/09/24 B737#6
30 19/09/24 B737#6
31 19/09/24 B737#6
32 19/09/24 B737#6
#
