%Flight Orig Dest DepTime ArrTime PrevFlight
1 DUB VIE 09:45 12:11 0
2 MUC ORY 12:51 14:11 0
3 MAD TXL 15:47 19:37 0
4 IST MAD 19:37 23:27 0
5 TXL BRU 07:45 10:12 0
6 MAD IST 12:17 16:03 0
7 IST DUB 17:34 19:19 0
8 MUC AMS 19:38 21:43 0
9 BCN IST 22:06 01:11+1 0
10 FRA BCN 10:30 13:20 0
11 TXL FRA 13:51 15:44 0
12 ZRH VIE 17:41 21:15 0
13 AMS MUC 22:51 03:43+1 0
14 CPH BRU 07:45 08:56 0
15 BCN TXL 09:26 12:59 0
16 DUB BRU 13:47 15:09 0
17 BCN MUC 17:36 19:57 0
18 IST BRU 21:41 23:13 0
19 MUC VIE 07:00 08:54 0
20 FRA IST 10:45 14:19 0
21 LHR BCN 16:44 19:02 0
22 VIE BCN 19:51 22:40 0
23 ORY BCN 00:24+1 04:32+1 0
24 IST BCN 12:45 16:56 0
25 LHR AMS 17:50 22:43 0
26 DUB TXL 23:38 02:13+1 0
27 AMS ORY 07:30 09:47 0
28 BRU MAD 12:30 14:48 0
29 IST BCN 17:39 19:48 0
30 FRA CDG 20:16 00:40+1 0
31 CDG BRU 11:00 12:49 0
32 MUC BRU 13:04 14:10 0
#
