%Flight DepDate Aircraft
1 21/09/24 A320#1
2 21/09/24 A320#1
3 21/09/24 A320#1
4 21/09/24 A320#1
6 21/09/24 B737#1
7 21/09/24 B737#1
8 21/09/24 B737#1
9 21/09/24 B737#2
10 21/09/24 B737#2
11 21/09/24 B737#2
12 21/09/24 B737#2
13 21/09/24 A320#2
14 21/09/24 A320#2
15 21/09/24 A320#3
16 21/09/24 A320#3
18 21/09/24 B737#3
19 21/09/24 B737#3
20 21/09/24 B737#3
21 21/09/24 B737#4
22 21/09/24 B737#4
23 21/09/24 B737#5
24 21/09/24 B737#5
25 21/09/24 B737#5
26 21/09/24 A320#4
27 21/09/24 A320#4
28 21/09/24 A320#4
29 21/09/24 B737#6
30 21/09/24 B737#6
31 21/09/24 B737#6
#
