%Flight DepDate Aircraft
1 02/09/24 B737#1
2 02/09/24 B737#1
3 02/09/24 B737#1
4 02/09/24 B737#1
5 02/09/24 A320#1
6 02/09/24 A320#1
7 02/09/24 A320#1
8 02/09/24 A320#1
9 02/09/24 A320#2
10 02/09/24 A320#2
11 02/09/24 A320#2
12 02/09/24 B737#2
13 02/09/24 B737#2
14 02/09/24 B737#2
15 02/09/24 B737#2
16 02/09/24 B737#2
17 02/09/24 B737#3
18 02/09/24 B737#3
19 02/09/24 B737#3
20 02/09/24 A320#3
21 02/09/24 A320#3
22 02/09/24 A320#3
23 02/09/24 A320#4
24 02/09/24 A320#4
25 02/09/24 A320#4
26 02/09/24 A320#4
27 02/09/24 A320#5
28 02/09/24 A320#5
29 02/09/24 A320#5
30 02/09/24 A320#5
31 02/09/24 A320#6
32 02/09/24 A320#6
33 02/09/24 A320#6
34 02/09/24 A320#6
35 02/09/24 B737#4
36 02/09/24 B737#4
37 02/09/24 B737#4
#
