%Flight DepDate Aircraft
1 27/09/24 B737#1
2 27/09/24 B737#1
3 27/09/24 B737#1
4 27/09/24 B737#1
5 27/09/24 B737#2
6 27/09/24 B737#2
7 27/09/24 B737#2
8 27/09/24 B737#3
9 27/09/24 B737#3
10 27/09/24 B737#3
11 27/09/24 A320#1
12 27/09/24 A320#1
13 27/09/24 A320#1
14 27/09/24 A320#1
15 27/09/24 B737#4
16 27/09/24 B737#4
17 27/09/24 B737#4
18 27/09/24 A320#2
19 27/09/24 A320#2
20 27/09/24 A320#2
21 27/09/24 A320#2
22 27/09/24 B737#5
23 27/09/24 B737#5
24 27/09/24 B737#5
26 27/09/24 A320#3
27 27/09/24 A320#3
28 27/09/24 A320#3
29 27/09/24 A320#3
#
