%Flight DepDate Aircraft
1 07/09/24 A320#1
2 07/09/24 A320#1
3 07/09/24 A320#1
4 07/09/24 A320#1
5 07/09/24 A320#1
6 07/09/24 A320#2
7 07/09/24 A320#2
8 07/09/24 A320#2
9 07/09/24 A320#2
10 07/09/24 A320#2
11 07/09/24 A320#3
12 07/09/24 A320#3
13 07/09/24 A320#3
14 07/09/24 A320#3
15 07/09/24 A320#4
16 07/09/24 A320#4
17 07/09/24 A320#4
18 07/09/24 B737#1
19 07/09/24 B737#1
20 07/09/24 B737#1
21 07/09/24 B737#1
22 07/09/24 A320#5
23 07/09/24 A320#5
24 07/09/24 A320#5
25 07/09/24 A320#5
26 07/09/24 B737#2
27 07/09/24 B737#2
28 07/09/24 B737#2
29 07/09/24 B737#3
30 07/09/24 B737#3
31 07/09/24 B737#3
32 07/09/24 B737#3
34 07/09/24 B737#4
35 07/09/24 B737#4
36 07/09/24 B737#4
37 07/09/24 B737#4
#
