%Flight Orig Dest DepTime ArrTime PrevFlight
1 CDG LHR 10:15 11:25 0
2 IST BRU 13:02 17:54 0
3 LHR MUC 19:14 23:37 0
4 ORY BRU 09:30 11:17 0
5 LHR ZRH 13:30 15:19 0
6 ORY BCN 15:26 17:16 0
7 AMS LHR 20:02 22:31 0
8 IST VIE 09:30 14:06 0
9 BRU CDG 14:14 15:25 0
10 ZRH LHR 17:38 20:36 0
11 ZRH DUB 21:54 23:11 0
12 DUB IST 12:45 17:22 0
13 MAD LHR 18:57 20:00 0
14 IST ZRH 22:38 03:08+1 0
15 VIE MAD 06:00 07:35 0
16 MAD VIE 09:00 12:34 0
17 LHR MAD 14:22 19:07 0
18 BRU MAD 19:08 21:30 0
19 LHR CPH 22:41 02:19+1 0
20 MUC ZRH 11:30 13:46 0
21 AMS BRU 14:45 18:06 0
22 BRU VIE 19:35 21:23 0
23 BCN ORY 22:15 01:39+1 0
24 MAD FRA 10:30 14:35 0
25 DUB BRU 15:42 20:05 0
26 ORY DUB 21:20 22:36 0
27 MUC BCN 23:46 01:30+1 0
#
