%Flight DepDate Aircraft
1 21/09/24 A320#1
2 21/09/24 A320#1
3 21/09/24 A320#1
4 21/09/24 A320#2
5 21/09/24 A320#2
6 21/09/24 A320#2
7 21/09/24 A320#2
8 21/09/24 B737#1
9 21/09/24 B737#1
10 21/09/24 B737#1
11 21/09/24 B737#1
12 21/09/24 A320#3
13 21/09/24 A320#3
14 21/09/24 A320#3
15 21/09/24 A320#4
16 21/09/24 A320#4
17 21/09/24 A320#4
18 21/09/24 A320#4
19 21/09/24 A320#4
20 21/09/24 B737#2
21 21/09/24 B737#2
22 21/09/24 B737#2
23 21/09/24 B737#2
24 21/09/24 A320#5
25 21/09/24 A320#5
26 21/09/24 A320#5
27 21/09/24 A320#5
#
