%Flight DepDate Aircraft
1 18/09/24 A320#1
2 18/09/24 A320#1
3 18/09/24 A320#1
4 18/09/24 A320#1
5 18/09/24 A320#2
6 18/09/24 A320#2
7 18/09/24 A320#2
8 18/09/24 B737#1
9 18/09/24 B737#1
10 18/09/24 B737#1
11 18/09/24 A320#3
12 18/09/24 A320#3
13 18/09/24 A320#3
14 18/09/24 A320#4
15 18/09/24 A320#4
16 18/09/24 A320#4
17 18/09/24 A320#4
18 18/09/24 A320#5
19 18/09/24 A320#5
20 18/09/24 A320#5
21 18/09/24 A320#6
22 18/09/24 A320#6
23 18/09/24 A320#6
24 18/09/24 A320#6
25 18/09/24 B737#2
26 18/09/24 B737#2
28 18/09/24 A320#7
29 18/09/24 A320#7
30 18/09/24 A320#7
31 18/09/24 B737#3
32 18/09/24 B737#3
#
