%Flight Orig Dest DepTime ArrTime PrevFlight
1 LHR VIE 06:15 09:36 0
2 IST MUC 11:56 14:31 0
3 IST TXL 16:10 19:02 0
4 FRA MUC 21:47 23:45 0
5 BCN BRU 08:00 12:18 0
6 BRU ZRH 14:23 17:05 0
7 MUC IST 18:35 20:17 0
8 LHR MAD 07:45 09:41 0
9 TXL ZRH 10:34 15:32 0
10 MAD BCN 17:59 21:19 0
11 BRU MAD 12:15 14:46 0
12 BRU MUC 17:30 20:25 0
13 ORY DUB 12:30 16:36 0
14 VIE IST 17:42 21:58 0
15 TXL DUB 10:15 13:00 0
16 TXL ZRH 15:27 20:19 0
17 MAD IST 11:30 13:24 0
18 CPH ZRH 14:02 15:04 0
19 VIE MUC 15:34 17:11 0
20 BCN CPH 18:26 21:21 0
21 BCN ZRH 12:15 15:42 0
22 CDG BCN 16:09 17:35 0
23 ZRH DUB 18:53 23:22 0
24 ORY AMS 09:45 14:14 0
25 VIE CPH 14:51 17:35 0
26 ORY BRU 19:31 00:02+1 0
27 ORY LHR 10:45 13:39 0
28 VIE DUB 13:58 17:08 0
29 DUB CPH 17:26 20:06 0
#
