%Flight DepDate Aircraft
1 19/09/24 B737#1
2 19/09/24 B737#1
3 19/09/24 B737#1
4 19/09/24 B737#1
5 19/09/24 A320#1
6 19/09/24 A320#1
7 19/09/24 A320#1
8 19/09/24 A320#2
9 19/09/24 A320#2
10 19/09/24 A320#2
11 19/09/24 B737#2
12 19/09/24 B737#2
13 19/09/24 A320#3
14 19/09/24 A320#3
15 19/09/24 B737#3
16 19/09/24 B737#3
17 19/09/24 A320#4
18 19/09/24 A320#4
19 19/09/24 A320#4
20 19/09/24 A320#4
21 19/09/24 B737#4
22 19/09/24 B737#4
23 19/09/24 B737#4
24 19/09/24 A320#5
25 19/09/24 A320#5
26 19/09/24 A320#5
27 19/09/24 B737#5
28 19/09/24 B737#5
29 19/09/24 B737#5
#
