%Flight DepDate Aircraft
1 08/09/24 A320#1
2 08/09/24 A320#1
3 08/09/24 A320#1
4 08/09/24 A320#1
5 08/09/24 A320#1
6 08/09/24 B737#1
7 08/09/24 B737#1
8 08/09/24 B737#1
9 08/09/24 B737#1
10 08/09/24 B737#1
11 08/09/24 B737#2
12 08/09/24 B737#2
13 08/09/24 B737#2
14 08/09/24 B737#2
15 08/09/24 A320#2
16 08/09/24 A320#2
17 08/09/24 A320#2
18 08/09/24 A320#2
19 08/09/24 A320#3
20 08/09/24 A320#3
21 08/09/24 A320#3
22 08/09/24 A320#3
23 08/09/24 B737#3
24 08/09/24 B737#3
25 08/09/24 B737#3
26 08/09/24 B737#4
27 08/09/24 B737#4
28 08/09/24 B737#4
#
